Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
817,8217,Roman ŠEBRLE,26 NOV 1974,CZE,1,Talence (FRA),26 SEP 2004,1160,11.04,7.58,14.83,2.07,49.81,14.69,43.75,5.02,63.19,4:51.69
818,8216,Tim BRIGHT,28 JUL 1960,USA,7,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1160,11.18,7.05,14.12,2.06,49.34,14.39,41.68,5.70,61.60,4:51.20
818,8216,Alain BLONDEL,07 DEC 1962,FRA,5,"Poljud Stadion, Split (CRO)",29 AUG 1990,1160,11.06,7.39,13.05,1.95,48.04,14.27,43.86,4.90,56.24,4:09.90
820,8215,Oleksandr YURKOV,21 JUL 1975,UKR,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",09 MAY 1999,1160
820,8215,Robert Jacob ARNOLD,03 JAN 1984,USA,1,"Sacramento, CA (USA)",07 JUN 2007,1160
820,8215,Matthias PREY,09 AUG 1988,GER,6,"Stadionring, Ratingen (GER)",16 JUN 2013,1160,11.03,7.88,15.66,1.76,49.98,14.36,50.63,4.50,63.64,4:32.85
823,8214,Antonio PEÑALVER,01 DEC 1968,ESP,6,"Poljud Stadion, Split (CRO)",29 AUG 1990,1159,11.24,7.55,16.01,2.01,50.27,14.63,47.84,4.70,57.48,4:28.86
823,8214,Sébastien LEVICQ,25 JUN 1971,FRA,8,Götzis (AUT),31 MAY 1998,1159,11.16,7.21,14.46,2.00,50.69,14.49,44.52,5.00,69.08,4:32.52
823,8214,Maurice SMITH,28 SEP 1980,JAM,2,Guadalajara (MEX),25 OCT 2011,1159,10.86,7.36,17.35,1.99,49.26,14.20,48.79,4.40,59.57,4:55.18
823,8214,Leonel SUÁREZ,01 SEP 1987,CUB,8,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1159,11.08,7.25,14.18,2.00,48.80,14.54,44.18,4.50,71.88,4:29.14
823,8214,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,3,"Stade Pierre Paul Bernard, Talence (FRA)",23 JUN 2019,1159,11.35,7.50,13.45,2.04,49.95,14.95,46.23,5.45,60.85,4:37.99
828,8213,Mário Anibal RAMOS,25 MAR 1972,POR,1,Kaunas (LTU),01 JUL 2001,1159,10.96,7.23,15.24,2.01,48.49,14.80,48.33,4.80,54.55,4:28.28
828,8213,Laurent HERNU,22 AUG 1976,FRA,2,Talence (FRA),16 SEP 2001,1159
828,8213,Nicklas WIBERG,16 APR 1985,SWE,7,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1159,11.07,7.52,14.13,2.12,48.71,14.65,41.90,4.20,65.67,4:20.16
828,8213,Zachery ZIEMEK,23 FEB 1993,USA,3,"Spec Towns Track, Athens, GA (USA)",10 APR 2021,1159,10.93,7.68,14.66,2.13,51.00,15.14,45.01,5.12,55.26,4:40.05
828,8213,Johannes ERM,26 MAR 1998,EST,11,"National Stadium, Tokyo (JPN)",05 AUG 2021,1159,11.04,7.36,14.60,1.99,48.25,14.55,45.72,4.80,58.41,4:28.42
833,8211,Alain BLONDEL,07 DEC 1962,FRA,3,Helmond (NED),07 JUL 1991,1159,10.99,7.36,13.04,1.98,48.19,14.41,42.60,5.00,58.64,4:17.92
833,8211,Michael KOHNLE,03 MAY 1970,GER,4,Ratingen (GER),01 JUN 1997,1159
833,8211,Tomáš DVOŘÁK,11 MAY 1972,CZE,7,Götzis (AUT),30 MAY 2004,1159,11.03,7.56,16.07,1.94,49.07,14.44,41.58,4.60,66.38,4:36.18
833,8211,Pascal BEHRENBRUCH,19 JAN 1985,GER,7,"DS, Daegu (KOR)",28 AUG 2011,1159,11.08,6.80,16.01,1.93,49.90,14.33,48.56,4.90,66.50,4:36.64
833,8211,Sander SKOTHEIM,31 MAY 2002,NOR,7,"Olympiastadion, München (GER)",16 AUG 2022,1159,10.98,7.56,13.65,2.11,48.27,15.64,44.13,5.00,56.48,4:26.38
833,8211,Makenson GLETTY,02 APR 1999,FRA,8,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1159,10.64,6.95,15.87,1.91,48.50,13.94,44.86,4.90,55.99,4:34.98
839,8209,Roman RAZBEYKO,09 MAR 1973,RUS,1,Novosibirsk (RUS),20 AUG 2000,1159,10.9,7.52,15.49,2.06,51.5,14.3,46.50,5.00,60.43,4:43.1
839,8209,Pascal BEHRENBRUCH,19 JAN 1985,GER,5,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,1159,10.90,6.92,16.15,2.00,48.48,14.25,45.19,4.60,66.47,4:46.23
839,8209,Romain BARRAS,01 AUG 1980,FRA,3,Szczecin (POL),28 JUN 2009,1159,11.34,7.00,14.86,1.98,48.65,14.45,45.38,4.90,63.33,4:20.90
839,8209,Tim NOWAK,13 AUG 1995,GER,7,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1159,11.12,7.28,14.86,2.00,50.16,14.64,47.27,4.80,60.11,4:20.66
839,8209,Jorge UREÑA,08 OCT 1993,ESP,1,Alhama de Murcia (ESP),23 MAY 2021,1159,10.70,7.59,14.50,2.03,49.05,14.05,40.48,4.60,7.45,4:29.06
844,8208,Aleksey DROZDOV,03 DEC 1983,RUS,2,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2006,1158,11.09,7.05,16.13,2.07,51.39,14.80,50.46,4.90,62.15,4:43.54
844,8208,Aleksey DROZDOV,03 DEC 1983,RUS,8,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,1158,11.13,7.78,15.97,2.09,51.61,14.92,47.42,4.70,64.22,4:53.86
846,8206,Grigoriy DEGTYARYOV,16 AUG 1958,URS,3,Krefeld (GER),08 SEP 1985,1158,11.01,7.38,14.98,2.01,51.02,14.74,50.66,4.70,59.54,4:27.88
846,8206,Christian PLAZIAT,28 OCT 1963,FRA,6,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1158,10.93,7.27,14.29,2.04,48.60,14.12,42.76,5.00,55.30,4:32.33
846,8206,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,9,Götzis (AUT),04 JUN 2000,1158,10.81,7.68,15.64,2.00,48.15,16.17,46.68,5.05,58.85,4:48.64
846,8206,Stefan SCHMID,06 MAY 1970,GER,9,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1158,10.94,7.17,14.04,2.00,48.61,14.38,40.81,5.00,67.03,4:36.49
846,8206,Chiel WARNERS,02 APR 1978,NED,1,Ried im Innkreis (AUT),01 JUL 2001,1158,10.65,7.50,14.62,1.98,47.93,14.29,42.75,4.80,57.39,4:43.12
851,8205,Maurice SMITH,28 SEP 1980,JAM,8,"National Stadium, Beijing (CHN)",22 AUG 2008,1158,10.85,7.04,15.09,1.99,47.96,14.08,50.91,4.60,51.52,4:31.62
851,8205,Niklas KAUL,11 FEB 1998,GER,6,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1158,11.29,7.29,14.20,2.09,48.41,14.77,42.01,4.70,68.76,4:31.44
851,8205,Basile ROLNIN,21 JAN 1994,FRA,2,"Stadionring, Ratingen (GER)",30 JUN 2019,1158,11.03,7.37,15.38,2.08,50.19,14.34,50.62,4.50,61.60,4:50.53
854,8204,Alain BLONDEL,07 DEC 1962,FRA,3,Oulu (FIN),11 JUL 1993,1158,11.34,7.19,13.15,1.98,48.79,14.51,43.16,5.20,63.96,4:19.00
854,8204,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1158,11.01,6.96,15.56,2.09,49.72,14.54,47.77,4.70,59.34,4:32.90
854,8204,Romain BARRAS,01 AUG 1980,FRA,11,"Olympiastadion, Berlin (GER)",20 AUG 2009,1158,11.14,7.04,14.78,1.99,49.66,14.27,45.62,5.00,61.24,4:27.04
854,8204,Pelle RIETVELD,04 FEB 1985,NED,5,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1158,10.93,7.15,13.92,1.91,48.47,14.14,39.89,5.06,68.38,4:31.83
854,8204,Paweł WIESIOŁEK,13 AUG 1991,POL,1,Kraków (POL),09 JUN 2019,1158,10.87,7.46,13.71,2.05,49.15,14.59,47.66,4.70,57.26,4:31.34
859,8203,Kristjan RAHNU,29 AUG 1979,EST,1,Tartu (EST),20 JUL 2003,1158
859,8203,Jeremy TAIWO,15 JAN 1990,USA,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1158,10.89,7.30,14.84,2.18,49.25,14.69,42.14,4.90,52.20,4:31.62
861,8202,Pascal BEHRENBRUCH,19 JAN 1985,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,1158,11.04,7.18,16.43,1.99,50.16,14.41,46.34,4.76,63.77,4:42.34
861,8202,Vitaliy ZHUK,10 SEP 1996,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",01 AUG 2020,1158,11.03,7.03,15.39,2.01,49.11,14.85,49.08,4.60,62.98,4:28.83
863,8201,Stefan SCHMID,06 MAY 1970,GER,3,Götzis (AUT),29 MAY 1994,1157,10.76,7.25,14.31,1.96,48.69,14.75,43.38,4.70,66.34,4:28.35
863,8201,Lev LOBODIN,01 APR 1969,UKR,3,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,1157,10.86,7.30,15.34,1.99,48.78,14.31,45.50,5.00,50.14,4:31.80
863,8201,Luca WIELAND,07 DEC 1994,GER,1,"Azusa, CA (USA)",13 APR 2017,1157,10.52,7.53,14.89,2.05,48.88,14.43,44.78,4.80,48.60,4:38.54
866,8200,Antonio PEÑALVER,01 DEC 1968,ESP,8,"National Stadium, Tokyo (JPN)",30 AUG 1991,1157,11.17,7.32,16.52,2.03,50.00,15.38,50.66,4.50,63.08,4:32.95
866,8200,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,4f,Talence (FRA),13 SEP 1998,1157,11.00,7.17,15.75,2.04,48.11,14.20,47.87,5.00,52.94,4:55.09
866,8200,Jan Felix KNOBEL,16 JAN 1989,GER,8,"DS, Daegu (KOR)",28 AUG 2011,1157,11.18,7.30,16.06,1.96,49.46,14.92,47.93,4.70,68.42,4:43.12
866,8200,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,1157,11.33,7.24,15.30,1.97,49.63,14.88,46.11,4.90,63.22,4:21.10
870,8199,Aleksandr APAYCHEV,06 MAY 1961,URS,5,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1157,11.14,7.25,15.57,1.88,49.45,14.29,45.82,4.80,64.84,4:29.66
870,8199,Dezső SZABÓ,04 SEP 1967,HUN,4,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1157,11.09,7.42,13.73,1.97,48.24,14.86,39.22,5.30,59.14,4:19.96
870,8199,Paul MEIER,27 JUL 1971,GER,1,Helmond (NED),02 JUL 1995,1157,11.00,7.27,15.41,2.13,50.34,15.08,46.64,4.60,63.54,4:36.98
870,8199,Pascal BEHRENBRUCH,19 JAN 1985,GER,5,"Stadionring, Ratingen (GER)",25 JUN 2006,1157,10.98,7.00,15.98,2.00,49.50,14.31,45.82,4.55,62.85,4:28.62
870,8199,Pascal BEHRENBRUCH,19 JAN 1985,GER,9,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1157,10.93,7.32,15.59,1.94,49.15,14.25,47.91,4.30,67.48,4:39.95
870,8199,Willem COERTZEN,30 DEC 1982,RSA,1,Pretoria (RSA),12 APR 2014,1157,10.99,7.47,14.11,2.00,49.65,14.38,44.50,4.50,69.40,4:34.21
876,8198,Lev LOBODIN,01 APR 1969,RUS,6,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1157,10.99,7.08,15.43,1.97,49.54,14.36,48.36,5.00,56.50,4:34.63
876,8198,Mikk PAHAPILL,18 JUL 1983,EST,2,Tallinn (EST),27 JUN 2010,1157,11.08,7.40,14.44,2.01,50.89,14.22,48.91,4.90,62.05,4:43.21
876,8198,Gunnar NIXON,13 JAN 1993,USA,2,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1157,10.80,7.62,14.12,2.17,48.63,14.59,40.32,4.30,60.44,4:31.95
876,8198,Kyle GARLAND,28 MAY 2000,USA,4,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,1157,10.72,7.21,16.10,2.08,49.66,14.05,45.23,4.60,58.61,4:53.38
880,8197,Uwe FREIMUTH,10 SEP 1961,GDR,6,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1157,11.02,7.25,15.28,1.97,48.35,14.85,45.94,4.90,60.36,4:34.54
880,8197,Pieter BRAUN,21 JAN 1993,NED,8,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1157,10.97,7.53,13.97,2.00,48.49,14.25,42.80,4.90,55.57,4:28.18
880,8197,Daniel GOLUBOVIC,29 NOV 1993,AUS,2,"Alexander Stadium, Birmingham (GBR)",05 AUG 2022,1157,11.17,6.98,15.60,1.94,49.08,14.32,49.85,4.90,58.26,4:30.95
883,8196,Christian PLAZIAT,28 OCT 1963,FRA,7,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1157,10.84,7.36,14.73,2.15,50.03,14.83,45.40,4.70,57.10,4:35.20
883,8196,Lev LOBODIN,01 APR 1969,UKR,7,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1157,10.93,7.20,15.72,2.04,48.92,13.98,45.34,4.60,55.74,4:36.23
883,8196,Romain BARRAS,01 AUG 1980,FRA,1,Daegu (KOR),29 AUG 2003,1157,11.18,7.15,14.51,2.01,48.84,14.35,45.58,4.70,63.60,4:27.19
883,8196,Aleksey DROZDOV,03 DEC 1983,RUS,1,"Steigerwaldstadion, Erfurt (GER)",15 JUL 2005,1157,11.18,7.29,15.38,2.07,50.67,14.86,49.10,4.70,63.97,4:38.33
883,8196,Kyle GARLAND,28 MAY 2000,USA,1,"Cushing Stadium, College Station, TX (USA)",14 MAY 2021,1157,10.89,7.58,14.98,2.16,50.40,14.37,44.37,4.70,55.35,4:44.74
888,8195,Rob MUZZIO,25 JUN 1964,USA,5,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1156,11.36,6.94,16.02,2.00,50.00,14.75,50.74,4.90,61.64,4:31.52
888,8195,Pieter BRAUN,21 JAN 1993,NED,1,"Kadrioru staadion, Tallinn (EST)",12 JUL 2015,1156,11.04,7.38,14.19,2.01,48.02,14.13,42.69,4.90,58.55,4:36.19
890,8194,Michael SCHRADER,01 JUL 1987,GER,9,"National Stadium, Beijing (CHN)",22 AUG 2008,1156,10.80,7.70,13.67,1.99,48.47,14.71,40.41,4.80,60.27,4:26.77
890,8194,Gaël QUERIN,26 JUN 1987,FRA,9,"Letzigrund, Zürich (SUI)",13 AUG 2014,1156,11.11,7.59,14.02,1.98,48.76,14.23,43.08,4.90,51.67,4:14.73
892,8193,Chris HUFFINS,19 APR 1970,USA,8,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,1156,10.34,7.85,14.46,1.98,48.10,14.25,43.80,4.60,57.38,5:03.48
892,8193,André NIKLAUS,30 AUG 1981,GER,1,"Stadionring, Ratingen (GER)",26 JUN 2005,1156,11.20,7.42,13.92,1.99,50.19,14.54,43.76,5.30,59.57,4:28.21
892,8193,Sergey SVIRIDOV,20 OCT 1990,RUS,1,Cheboksary (RUS),10 JUN 2014,1156,10.85,7.60,14.50,1.94,49.12,14.75,48.22,4.60,62.45,4:37.42
892,8193,Manuel EITEL,28 JAN 1997,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,1156,10.44,7.29,14.86,1.96,49.48,14.44,43.53,4.80,60.51,4:39.48
892,8193,Manuel EITEL,28 JAN 1997,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",24 SEP 2023,1156,10.64,7.40,14.77,1.96,48.75,14.52,43.18,4.67,63.68,4:39.27
897,8192,Paul MEIER,27 JUL 1971,GER,6,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1156,10.75,7.54,15.34,2.15,48.33,15.22,42.14,4.60,55.44,4:38.21
897,8192,Sébastien LEVICQ,25 JUN 1971,FRA,17,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1156,11.17,7.16,14.05,1.92,50.55,14.50,45.00,5.40,64.42,4:29.50
897,8192,Frank BUSEMANN,26 FEB 1975,GER,2,"Stadionring, Ratingen (GER)",17 JUN 2001,1156,10.90,7.73,13.90,2.04,50.62,14.21,44.37,4.96,51.11,4:27.07
897,8192,Jaakko OJANIEMI,28 AUG 1980,FIN,5,"Olympiastadion, München (GER)",08 AUG 2002,1156,10.58,7.56,15.37,1.97,49.31,14.75,44.29,4.40,66.63,4:44.94
901,8191,Michael SMITH,16 SEP 1967,CAN,4,Götzis (AUT),29 MAY 1994,1156,10.83,7.02,15.27,1.93,49.70,14.64,48.84,4.90,65.74,4:44.11
901,8191,Christian PLAZIAT,28 OCT 1963,FRA,6,Götzis (AUT),28 MAY 1995,1156,11.16,7.49,14.44,2.05,49.19,14.41,44.66,5.10,5.10,4:34.14
901,8191,Michael KOHNLE,03 MAY 1970,GER,2,"Edwardsville, IL (USA)",18 JUL 1996,1156,10.72,7.57,15.81,1.99,49.52,14.26,44.46,4.80,58.28,4:55.49
901,8191,Bastien AUZEIL,22 OCT 1989,FRA,1,Angers (FRA),25 JUN 2016,1156,11.18,7.14,15.06,2.04,49.97,14.57,47.02,5.00,61.80,4:38.79
901,8191,Manuel EITEL,28 JAN 1997,GER,11,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,1156,10.44,7.14,14.85,1.99,48.47,14.39,41.30,4.70,60.12,4:33.70
906,8190,Kai KAZMIREK,28 JAN 1991,GER,7,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,1156,10.92,7.41,14.03,2.03,48.19,14.56,42.22,5.00,61.75,4:44.71
906,8190,Marcel MEYER,01 JAN 2001,GER,1,"Erika-Fisch-Stadion, Hannover (GER)",03 SEP 2023,1156,10.88,7.09,14.00,1.94,47.72,14.33,44.45,5.00,57.26,4:25.79
908,8189,Robert DE WIT,07 AUG 1962,NED,8,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1155,11.05,6.95,15.34,2.00,48.21,14.36,41.32,4.80,63.00,4:25.86
908,8189,Dave JOHNSON,07 APR 1963,USA,6,"Atlanta, GA (USA)",22 JUN 1996,1155
908,8189,Tom PAPPAS,06 SEP 1976,USA,3,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,1155,11.09,7.39,15.86,2.06,49.96,14.29,47.44,4.72,61.77,4:56.83
908,8189,Manuel EITEL,28 JAN 1997,GER,1,"Fleinsbachstadion, Bernhausen, Filderstadt (GER)",28 AUG 2022,1155,10.48,7.12,14.32,1.94,48.66,14.54,45.67,4.80,61.11,4:36.57
912,8188,Robert ZMĚLÍK,18 APR 1969,CZE,5,Götzis (AUT),30 MAY 1993,1155,10.75,7.64,14.00,1.99,48.94,13.98,42.48,4.90,58.72,4:49.17
912,8188,Aki HEIKKINEN,24 FEB 1980,FIN,2,Lahti (FIN),20 AUG 2000,1155,10.93,7.57,14.11,1.90,49.23,14.88,40.81,5.00,68.50,4:30.82
912,8188,Aleksey DROZDOV,03 DEC 1983,RUS,6,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1155,11.09,6.91,16.13,2.00,50.60,14.83,50.29,4.90,64.59,4:41.10
912,8188,Harrison WILLIAMS,07 MAR 1996,USA,3,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1155,10.68,7.16,13.80,1.94,47.60,14.15,42.64,5.30,49.77,4:29.71
916,8187,Thomas FAHNER,18 JUL 1966,GDR,3,Basel (SUI),05 JUL 1987,1155,10.96,7.33,14.23,1.95,48.36,14.71,47.14,4.60,63.12,4:27.53
916,8187,Tom PAPPAS,06 SEP 1976,USA,2,"Eugene, OR (USA)",25 JUN 1999,1155,10.75,7.36,14.97,1.94,48.34,14.00,44.65,5.00,60.89,5:02.71
916,8187,Willem COERTZEN,30 DEC 1982,RSA,1,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2015,1155,10.96,7.44,13.66,1.98,48.92,14.27,43.69,4.65,67.21,4:35.64
919,8186,Maurice SMITH,28 SEP 1980,JAM,4,Kladno (CZE),16 JUN 2010,1155,10.79,7.15,15.15,1.94,48.25,14.20,53.02,4.60,60.14,4:58.05
919,8186,Yordani GARCÍA,21 NOV 1988,CUB,9,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1155,10.77,6.88,14.38,2.03,48.42,14.00,41.10,4.70,64.28,4:31.67
921,8185,Alain BLONDEL,07 DEC 1962,FRA,8,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,1155,10.74,7.42,13.27,2.00,47.79,14.34,39.22,4.90,55.18,4:18.97
921,8185,Romain BARRAS,01 AUG 1980,FRA,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1155,11.32,7.26,14.54,2.00,49.24,14.44,43.95,4.90,65.84,4:31.52
921,8185,Cedric DUBLER,13 JAN 1995,AUS,8,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1155,10.69,7.39,12.81,2.06,48.26,14.21,41.34,4.90,55.30,4:29.69
924,8184,Lev LOBODIN,01 APR 1969,RUS,7f,Götzis (AUT),01 JUN 1997,1155,11.02,7.59,14.56,2.03,48.69,14.20,43.14,4.80,58.40,4:43.24
924,8184,Tom PAPPAS,06 SEP 1976,USA,1,"Boise, ID (USA)",03 JUN 1999,1155,10.96,6.97,15.38,2.14,49.44,14.24,42.07,5.00,64.42,5:01.18
924,8184,Laurent HERNU,22 AUG 1976,FRA,1,Narbonne (FRA),25 JUL 2003,1155,11.12,7.43,14.37,2.06,49.31,14.05,45.63,4.75,58.21,4:39.79
924,8184,Mikk PAHAPILL,18 JUL 1983,EST,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,1155,11.27,7.23,15.51,1.97,50.32,14.38,46.58,5.10,61.53,4:38.43
924,8184,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,6,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1155,11.04,7.68,13.65,2.03,49.16,14.76,39.63,5.16,60.92,4:35.09
924,8184,Kai KAZMIREK,28 JAN 1991,GER,1,"Stadionring, Ratingen (GER)",20 JUN 2021,1155,10.93,7.38,14.31,2.03,47.26,14.50,41.89,5.00,56.69,4:42.00
930,8183,Pavel TARNAVETSKIY,22 FEB 1961,URS,4,Basel (SUI),05 JUL 1987,1155,11.21,7.04,14.47,2.07,49.61,15.00,45.76,5.10,59.44,4:23.84
930,8183,Ivan BABIY,22 JUL 1963,URS,9,Götzis (AUT),19 JUN 1988,1155,10.96,7.56,14.51,2.02,48.72,14.07,41.50,4.80,54.12,4:29.58
930,8183,Ricky BARKER,14 NOV 1969,USA,2,"New Orleans, LA (USA)",20 JUN 1998,1155,10.75,7.35,14.95,2.03,48.42,14.18,40.81,5.10,59.47,5:00.37
933,8182,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,2,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,1154,10.81,7.25,14.61,1.94,48.58,14.23,45.56,4.86,56.33,4:31.54
933,8182,Maicel UIBO,27 DEC 1992,EST,1,"Eugene, OR (USA)",12 JUN 2014,1154,11.05,7.33,13.56,2.14,50.64,15.04,46.05,5.00,59.15,4:29.00
933,8182,Ilya SHKURENYOV,11 JAN 1991,ANA,7,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1154,11.09,7.53,13.98,2.00,49.40,14.44,42.56,5.20,56.56,4:31.66
933,8182,Leo NEUGEBAUER,19 JUN 2000,GER,10,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1154,11.07,7.46,15.83,1.99,48.34,14.86,51.88,4.80,52.80,4:48.41
933,8182,Kendrick THOMPSON,28 AUG 1997,BAH,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1154,10.28,7.48,13.48,2.00,47.22,14.40,41.99,4.50,64.63,4:56.44
938,8181,Devon WILLIAMS,17 JAN 1994,USA,2,"Eugene, OR (USA)",08 JUN 2017,1154,10.65,7.73,14.13,1.98,48.16,13.87,40.72,4.71,57.04,4:46.11
938,8181,Zachery ZIEMEK,23 FEB 1993,USA,1f4,"Azusa, CA (USA)",20 APR 2018,1154,10.72,7.34,13.68,2.07,50.03,14.53,48.54,5.20,51.14,4:45.28
938,8181,Maicel UIBO,27 DEC 1992,EST,2,Lutsk (UKR),07 JUL 2019,1154,11.26,6.99,14.23,2.13,51.04,14.65,45.27,5.30,63.05,4:40.03
941,8180,Dave JOHNSON,07 APR 1963,USA,9,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1154,11.15,7.12,14.52,2.03,49.15,14.66,42.36,4.90,66.46,4:29.62
941,8180,Klaus ISEKENMEIER,14 APR 1975,GER,10,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1154,11.05,7.56,14.28,1.91,48.56,14.40,47.88,4.60,65.84,4:42.54
941,8180,Romain BARRAS,01 AUG 1980,FRA,3,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,1154,11.06,7.17,15.06,1.96,49.03,14.38,41.75,4.86,63.84,4:26.34
941,8180,Akihiko NAKAMURA,23 OCT 1990,JPN,1,Nagano (JPN),12 JUN 2016,1154,10.69,7.65,12.47,2.02,47.82,14.12,35.58,4.90,54.18,4:16.30
945,8179,Indrek KASEORG,16 DEC 1967,EST,9,Götzis (AUT),31 MAY 1998,1154,11.25,7.24,14.42,2.09,48.82,14.59,40.25,4.80,63.94,4:25.44
945,8179,Arkadiy VASILYEV,19 JAN 1987,RUS,3,"Gyulai István Atlétika Stadion, Debrecen (HUN)",12 JUL 2007,1154,10.93,7.41,14.62,1.99,50.02,14.55,46.94,4.60,63.08,4:32.21
945,8179,Yordani GARCÍA,21 NOV 1988,CUB,1,Ottawa (CAN),18 JUL 2014,1154,10.71,6.92,15.19,2.05,48.20,14.32,38.18,4.60,67.90,4:36.98
945,8179,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,3,"CIBC, Toronto (CAN)",23 JUL 2015,1154,10.81,7.53,15.16,2.00,49.91,14.29,46.16,4.70,56.36,4:39.77
945,8179,Austin WEST,17 MAR 2000,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,1154,10.65,7.45,14.11,1.95,46.41,14.48,42.63,4.30,60.39,4:27.86
950,8178,Laurent HERNU,22 AUG 1976,FRA,5,Talence (FRA),30 JUL 2000,1154
950,8178,Henrik DAGÅRD,07 AUG 1969,SWE,10,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1154,10.84,7.08,14.97,1.94,48.75,14.30,42.95,5.10,65.05,4:49.51
950,8178,Mikk PAHAPILL,18 JUL 1983,EST,10,"National Stadium, Beijing (CHN)",22 AUG 2008,1154,11.15,7.04,14.36,2.11,50.90,14.51,49.35,4.80,67.07,4:47.03
950,8178,Fredrik SAMUELSSON,16 FEB 1995,SWE,10,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1154,10.97,7.43,14.05,2.00,49.85,14.58,44.45,4.90,63.99,4:36.60
954,8177,Artem LUKYANENKO,30 JAN 1990,RUS,16,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1154,11.11,7.09,14.43,1.99,49.01,14.21,44.06,5.00,61.83,4:32.97
955,8176,Lev LOBODIN,01 APR 1969,UKR,2,Bressanone (ITA),03 JUL 1994,1153,10.87,7.37,14.64,2.04,48.94,14.17,43.62,5.00,54.44,4:44.12
