Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
828,8213,Nicklas WIBERG,16 APR 1985,SWE,7,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.52,41.9,65.67,4:20.16,23.44,4028
828,8213,Zachery ZIEMEK,23 FEB 1993,USA,3,"Spec Towns Track, Athens, GA (USA)",10 APR 2021,7.68,45.01,55.26,4:40.05,23.39,3732
833,8211,Alain BLONDEL,07 DEC 1962,FRA,3,Helmond (NED),07 JUL 1991,7.36,42.6,58.64,4:17.92,23.71,3899
833,8211,Tomáš DVOŘÁK,11 MAY 1972,CZE,7,Götzis (AUT),30 MAY 2004,7.56,41.58,66.38,4:36.18,23.41,3845
833,8211,Pascal BEHRENBRUCH,19 JAN 1985,GER,7,"DS, Daegu (KOR)",28 AUG 2011,6.8,48.56,66.5,4:36.64,23.26,3825
833,8211,Sander SKOTHEIM,31 MAY 2002,NOR,7,"Olympiastadion, München (GER)",16 AUG 2022,7.56,44.13,56.48,4:26.38,24.43,3738
833,8211,Makenson GLETTY,02 APR 1999,FRA,8,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,6.95,44.86,55.99,4:34.98,23.43,3640
839,8209,Roman RAZBEYKO,09 MAR 1973,RUS,1,Novosibirsk (RUS),20 AUG 2000,7.52,46.5,60.43,4:43.1,23.78,3707
839,8209,Pascal BEHRENBRUCH,19 JAN 1985,GER,5,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,6.92,45.19,66.47,4:46.23,24.13,3552
839,8209,Romain BARRAS,01 AUG 1980,FRA,3,Szczecin (POL),28 JUN 2009,7,45.38,63.33,4:20.90,23.48,3932
839,8209,Tim NOWAK,13 AUG 1995,GER,7,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.28,47.27,60.11,4:20.66,24.52,3845
839,8209,Jorge UREÑA,08 OCT 1993,ESP,1,Alhama de Murcia (ESP),23 MAY 2021,7.59,40.48,7.45,4:29.06,24.62,2928
844,8208,Aleksey DROZDOV,03 DEC 1983,RUS,2,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2006,7.05,50.46,62.15,4:43.54,24.35,3620
844,8208,Aleksey DROZDOV,03 DEC 1983,RUS,8,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.78,47.42,64.22,4:53.86,23.49,3738
846,8206,Grigoriy DEGTYARYOV,16 AUG 1958,URS,3,Krefeld (GER),08 SEP 1985,7.38,50.66,59.54,4:27.88,23.26,4000
846,8206,Christian PLAZIAT,28 OCT 1963,FRA,6,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.27,42.76,55.3,4:32.33,23.50,3684
846,8206,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,9,Götzis (AUT),04 JUN 2000,7.68,46.68,58.85,4:48.64,23.08,3748
846,8206,Stefan SCHMID,06 MAY 1970,GER,9,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.17,40.81,67.03,4:36.49,23.22,3778
846,8206,Chiel WARNERS,02 APR 1978,NED,1,Ried im Innkreis (AUT),01 JUL 2001,7.5,42.75,57.39,4:43.12,23.66,3607
851,8205,Maurice SMITH,28 SEP 1980,JAM,8,"National Stadium, Beijing (CHN)",22 AUG 2008,7.04,50.91,51.52,4:31.62,24.08,3662
851,8205,Niklas KAUL,11 FEB 1998,GER,6,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.29,42.01,68.76,4:31.44,23.82,3832
851,8205,Basile ROLNIN,21 JAN 1994,FRA,2,"Stadionring, Ratingen (GER)",30 JUN 2019,7.37,50.62,61.6,4:50.53,23.91,3657
854,8204,Alain BLONDEL,07 DEC 1962,FRA,3,Oulu (FIN),11 JUL 1993,7.19,43.16,63.96,4:19.00,23.98,3898
854,8204,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,6.96,47.77,59.34,4:32.90,23.44,3767
854,8204,Romain BARRAS,01 AUG 1980,FRA,11,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.04,45.62,61.24,4:27.04,23.63,3819
854,8204,Paweł WIESIOŁEK,13 AUG 1991,POL,1,Kraków (POL),09 JUN 2019,7.46,47.66,57.26,4:31.34,23.68,3831
859,8203,Jeremy TAIWO,15 JAN 1990,USA,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.3,42.14,52.2,4:31.62,23.72,3615
861,8202,Pascal BEHRENBRUCH,19 JAN 1985,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,7.18,46.34,63.77,4:42.34,23.40,3738
861,8202,Vitaliy ZHUK,10 SEP 1996,BLR,1,"Dinamo National Olympic Stadium, Minsk (BLR)",01 AUG 2020,7.03,49.08,62.98,4:28.83,23.50,3900
863,8201,Stefan SCHMID,06 MAY 1970,GER,3,Götzis (AUT),29 MAY 1994,7.25,43.38,66.34,4:28.35,23.31,3922
863,8201,Lev LOBODIN,01 APR 1969,UKR,3,"Olympiastadion, Helsinki (FIN)",13 AUG 1994,7.3,45.5,50.14,4:31.80,24.11,3593
863,8201,Luca WIELAND,07 DEC 1994,GER,1,"Azusa, CA (USA)",13 APR 2017,7.53,44.78,48.6,4:38.54,23.37,3623
866,8200,Antonio PEÑALVER,01 DEC 1968,ESP,8,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.32,50.66,63.08,4:32.95,23.94,3883
866,8200,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,4f,Talence (FRA),13 SEP 1998,7.17,47.87,52.94,4:55.09,24.10,3359
866,8200,Jan Felix KNOBEL,16 JAN 1989,GER,8,"DS, Daegu (KOR)",28 AUG 2011,7.3,47.93,68.42,4:43.12,23.91,3781
866,8200,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,7.24,46.11,63.22,4:21.10,23.47,3995
870,8199,Aleksandr APAYCHEV,06 MAY 1961,URS,5,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.25,45.82,64.84,4:29.66,24.11,3822
870,8199,Dezső SZABÓ,04 SEP 1967,HUN,4,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.42,39.22,59.14,4:19.96,23.82,3817
870,8199,Paul MEIER,27 JUL 1971,GER,1,Helmond (NED),02 JUL 1995,7.27,46.64,63.54,4:36.98,23.67,3791
870,8199,Pascal BEHRENBRUCH,19 JAN 1985,GER,5,"Stadionring, Ratingen (GER)",25 JUN 2006,7,45.82,62.85,4:28.62,23.88,3784
870,8199,Pascal BEHRENBRUCH,19 JAN 1985,GER,9,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.32,47.91,67.48,4:39.95,23.84,3820
870,8199,Willem COERTZEN,30 DEC 1982,RSA,1,Pretoria (RSA),12 APR 2014,7.47,44.5,69.4,4:34.21,24.35,3820
876,8198,Lev LOBODIN,01 APR 1969,RUS,6,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,7.08,48.36,56.5,4:34.63,23.41,3746
876,8198,Mikk PAHAPILL,18 JUL 1983,EST,2,Tallinn (EST),27 JUN 2010,7.4,48.91,62.05,4:43.21,23.70,3758
876,8198,Gunnar NIXON,13 JAN 1993,USA,2,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,7.62,40.32,60.44,4:31.95,23.46,3798
876,8198,Kyle GARLAND,28 MAY 2000,USA,4,"Hayward Field, Eugene, OR (USA)",07 JUL 2023,7.21,45.23,58.61,4:53.38,23.48,3503
880,8197,Uwe FREIMUTH,10 SEP 1961,GDR,6,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.25,45.94,60.36,4:34.54,23.81,3740
880,8197,Pieter BRAUN,21 JAN 1993,NED,8,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.53,42.8,55.57,4:28.18,23.90,3743
880,8197,Daniel GOLUBOVIC,29 NOV 1993,AUS,2,"Alexander Stadium, Birmingham (GBR)",05 AUG 2022,6.98,49.85,58.26,4:30.95,23.59,3798
883,8196,Christian PLAZIAT,28 OCT 1963,FRA,7,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.36,45.4,57.1,4:35.20,23.73,3711
883,8196,Lev LOBODIN,01 APR 1969,UKR,7,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.2,45.34,55.74,4:36.23,24.34,3561
883,8196,Romain BARRAS,01 AUG 1980,FRA,1,Daegu (KOR),29 AUG 2003,7.15,45.58,63.6,4:27.19,24.06,3816
883,8196,Aleksey DROZDOV,03 DEC 1983,RUS,1,"Steigerwaldstadion, Erfurt (GER)",15 JUL 2005,7.29,49.1,63.97,4:38.33,24.24,3753
883,8196,Kyle GARLAND,28 MAY 2000,USA,1,"Cushing Stadium, College Station, TX (USA)",14 MAY 2021,7.58,44.37,55.35,4:44.74,23.37,3644
888,8195,Rob MUZZIO,25 JUN 1964,USA,5,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,6.94,50.74,61.64,4:31.52,23.36,3877
888,8195,Pieter BRAUN,21 JAN 1993,NED,1,"Kadrioru staadion, Tallinn (EST)",12 JUL 2015,7.38,42.69,58.55,4:36.19,23.66,3683
890,8194,Michael SCHRADER,01 JUL 1987,GER,9,"National Stadium, Beijing (CHN)",22 AUG 2008,7.7,40.41,60.27,4:26.77,22.93,3950
890,8194,Gaël QUERIN,26 JUN 1987,FRA,9,"Letzigrund, Zürich (SUI)",13 AUG 2014,7.59,43.08,51.67,4:14.73,24.20,3834
892,8193,Chris HUFFINS,19 APR 1970,USA,8,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.85,43.8,57.38,5:03.48,23.61,3455
892,8193,André NIKLAUS,30 AUG 1981,GER,1,"Stadionring, Ratingen (GER)",26 JUN 2005,7.42,43.76,59.57,4:28.21,23.45,3853
892,8193,Sergey SVIRIDOV,20 OCT 1990,RUS,1,Cheboksary (RUS),10 JUN 2014,7.6,48.22,62.45,4:37.42,23.34,3914
892,8193,Manuel EITEL,28 JAN 1997,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2022,7.29,43.53,60.51,4:39.48,23.28,3716
892,8193,Manuel EITEL,28 JAN 1997,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",24 SEP 2023,7.4,43.18,63.68,4:39.27,24.30,3644
897,8192,Paul MEIER,27 JUL 1971,GER,6,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.54,42.14,55.44,4:38.21,24.14,3574
897,8192,Sébastien LEVICQ,25 JUN 1971,FRA,17,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.16,45,64.42,4:29.50,23.49,3867
897,8192,Frank BUSEMANN,26 FEB 1975,GER,2,"Stadionring, Ratingen (GER)",17 JUN 2001,7.73,44.37,51.11,4:27.07,23.79,3781
897,8192,Jaakko OJANIEMI,28 AUG 1980,FIN,5,"Olympiastadion, München (GER)",08 AUG 2002,7.56,44.29,66.63,4:44.94,23.84,3732
901,8191,Michael SMITH,16 SEP 1967,CAN,4,Götzis (AUT),29 MAY 1994,7.02,48.84,65.74,4:44.11,23.65,3722
901,8191,Christian PLAZIAT,28 OCT 1963,FRA,6,Götzis (AUT),28 MAY 1995,7.49,44.66,5.1,4:34.14,24.11,2955
901,8191,Michael KOHNLE,03 MAY 1970,GER,2,"Edwardsville, IL (USA)",18 JUL 1996,7.57,44.46,58.28,4:55.49,23.12,3584
901,8191,Bastien AUZEIL,22 OCT 1989,FRA,1,Angers (FRA),25 JUN 2016,7.14,47.02,61.8,4:38.79,23.34,3767
901,8191,Manuel EITEL,28 JAN 1997,GER,11,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.14,41.3,60.12,4:33.70,23.16,3726
906,8190,Kai KAZMIREK,28 JAN 1991,GER,7,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.41,42.22,61.75,4:44.71,23.44,3649
908,8189,Robert DE WIT,07 AUG 1962,NED,8,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,6.95,41.32,63,4:25.86,24.05,3704
908,8189,Tom PAPPAS,06 SEP 1976,USA,3,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,7.39,47.44,61.77,4:56.83,23.48,3584
908,8189,Manuel EITEL,28 JAN 1997,GER,1,"Fleinsbachstadion, Bernhausen, Filderstadt (GER)",28 AUG 2022,7.12,45.67,61.11,4:36.57,23.70,3707
912,8188,Robert ZMĚLÍK,18 APR 1969,CZE,5,Götzis (AUT),30 MAY 1993,7.64,42.48,58.72,4:49.17,24.26,3495
912,8188,Aki HEIKKINEN,24 FEB 1980,FIN,2,Lahti (FIN),20 AUG 2000,7.57,40.81,68.5,4:30.82,22.99,3986
912,8188,Aleksey DROZDOV,03 DEC 1983,RUS,6,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,6.91,50.29,64.59,4:41.10,23.43,3775
912,8188,Harrison WILLIAMS,07 MAR 1996,USA,3,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,7.16,42.64,49.77,4:29.71,23.28,3643
916,8187,Thomas FAHNER,18 JUL 1966,GDR,3,Basel (SUI),05 JUL 1987,7.33,47.14,63.12,4:27.53,23.61,3933
916,8187,Tom PAPPAS,06 SEP 1976,USA,2,"Eugene, OR (USA)",25 JUN 1999,7.36,44.65,60.89,5:02.71,23.28,3468
916,8187,Willem COERTZEN,30 DEC 1982,RSA,1,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2015,7.44,43.69,67.21,4:35.64,23.32,3889
919,8186,Maurice SMITH,28 SEP 1980,JAM,4,Kladno (CZE),16 JUN 2010,7.15,53.02,60.14,4:58.05,23.09,3649
919,8186,Yordani GARCÍA,21 NOV 1988,CUB,9,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,6.88,41.1,64.28,4:31.67,23.96,3642
921,8185,Alain BLONDEL,07 DEC 1962,FRA,8,"Neckarstadion, Stuttgart (GER)",28 AUG 1986,7.42,39.22,55.18,4:18.97,23.21,3856
921,8185,Romain BARRAS,01 AUG 1980,FRA,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,7.26,43.95,65.84,4:31.52,23.58,3852
921,8185,Cedric DUBLER,13 JAN 1995,AUS,8,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.39,41.34,55.3,4:29.69,23.79,3678
924,8184,Lev LOBODIN,01 APR 1969,RUS,7f,Götzis (AUT),01 JUN 1997,7.59,43.14,58.4,4:43.24,23.85,3621
924,8184,Tom PAPPAS,06 SEP 1976,USA,1,"Boise, ID (USA)",03 JUN 1999,6.97,42.07,64.42,5:01.18,24.29,3269
924,8184,Laurent HERNU,22 AUG 1976,FRA,1,Narbonne (FRA),25 JUL 2003,7.43,45.63,58.21,4:39.79,23.75,3686
924,8184,Mikk PAHAPILL,18 JUL 1983,EST,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,7.23,46.58,61.53,4:38.43,23.04,3819
924,8184,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,6,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,7.68,39.63,60.92,4:35.09,24.01,3692
924,8184,Kai KAZMIREK,28 JAN 1991,GER,1,"Stadionring, Ratingen (GER)",20 JUN 2021,7.38,41.89,56.69,4:42.00,23.55,3584
930,8183,Pavel TARNAVETSKIY,22 FEB 1961,URS,4,Basel (SUI),05 JUL 1987,7.04,45.76,59.44,4:23.84,23.31,3879
930,8183,Ivan BABIY,22 JUL 1963,URS,9,Götzis (AUT),19 JUN 1988,7.56,41.5,54.12,4:29.58,23.40,3755
930,8183,Ricky BARKER,14 NOV 1969,USA,2,"New Orleans, LA (USA)",20 JUN 1998,7.35,40.81,59.47,5:00.37,24.25,3274
933,8182,Carlos Eduardo BEZERRA CHININ,03 MAY 1985,BRA,2,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,7.25,45.56,56.33,4:31.54,23.86,3707
933,8182,Maicel UIBO,27 DEC 1992,EST,1,"Eugene, OR (USA)",12 JUN 2014,7.33,46.05,59.15,4:29.00,23.49,3855
933,8182,Ilya SHKURENYOV,11 JAN 1991,ANA,7,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.53,42.56,56.56,4:31.66,22.59,3885
933,8182,Leo NEUGEBAUER,19 JUN 2000,GER,10,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.46,51.88,52.8,4:48.41,23.15,3704
933,8182,Kendrick THOMPSON,28 AUG 1997,BAH,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.48,41.99,64.63,4:56.44,23.82,3503
938,8181,Devon WILLIAMS,17 JAN 1994,USA,2,"Eugene, OR (USA)",08 JUN 2017,7.73,40.72,57.04,4:46.11,24.52,3462
938,8181,Zachery ZIEMEK,23 FEB 1993,USA,1f4,"Azusa, CA (USA)",20 APR 2018,7.34,48.54,51.14,4:45.28,23.82,3542
938,8181,Maicel UIBO,27 DEC 1992,EST,2,Lutsk (UKR),07 JUL 2019,6.99,45.27,63.05,4:40.03,23.55,3676
941,8180,Dave JOHNSON,07 APR 1963,USA,9,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.12,42.36,66.46,4:29.62,23.72,3806
941,8180,Klaus ISEKENMEIER,14 APR 1975,GER,10,"Olympic Stadium, Athina (GRE)",06 AUG 1997,7.56,47.88,65.84,4:42.54,23.07,3920
941,8180,Romain BARRAS,01 AUG 1980,FRA,3,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,7.17,41.75,63.84,4:26.34,23.77,3803
941,8180,Akihiko NAKAMURA,23 OCT 1990,JPN,1,Nagano (JPN),12 JUN 2016,7.65,35.58,54.18,4:16.30,23.96,3757
945,8179,Indrek KASEORG,16 DEC 1967,EST,9,Götzis (AUT),31 MAY 1998,7.24,40.25,63.94,4:25.44,23.21,3878
945,8179,Arkadiy VASILYEV,19 JAN 1987,RUS,3,"Gyulai István Atlétika Stadion, Debrecen (HUN)",12 JUL 2007,7.41,46.94,63.08,4:32.21,23.84,3857
945,8179,Yordani GARCÍA,21 NOV 1988,CUB,1,Ottawa (CAN),18 JUL 2014,6.92,38.18,67.9,4:36.98,22.57,3769
945,8179,Austin WEST,17 MAR 2000,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,7.45,42.63,60.39,4:27.86,23.48,3851
950,8178,Henrik DAGÅRD,07 AUG 1969,SWE,10,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7.08,42.95,65.05,4:49.51,23.93,3512
950,8178,Mikk PAHAPILL,18 JUL 1983,EST,10,"National Stadium, Beijing (CHN)",22 AUG 2008,7.04,49.35,67.07,4:47.03,23.74,3705
950,8178,Fredrik SAMUELSSON,16 FEB 1995,SWE,10,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.43,44.45,63.99,4:36.60,23.56,3811
954,8177,Artem LUKYANENKO,30 JAN 1990,RUS,16,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.09,44.06,61.83,4:32.97,23.30,3780
955,8176,Paweł WIESIOŁEK,13 AUG 1991,POL,12,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.27,48.27,51.6,4:30.02,23.54,3757
957,8175,Francisco Javier BENET,25 MAR 1968,ESP,4,Praha (CZE),04 JUL 1999,7.24,44.59,64.05,4:34.27,23.30,3837
957,8175,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,4,Götzis (AUT),02 JUN 2002,7.05,45.01,64.6,4:29.01,23.37,3868
957,8175,Dominik DISTELBERGER,16 MAR 1990,AUT,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,7.25,43.93,59.97,4:34.21,24.05,3670
957,8175,Cedric DUBLER,13 JAN 1995,AUS,2,"SOPAC, Sydney (AUS)",16 APR 2021,7.47,43.6,58.44,4:43.89,23.33,3666
962,8174,Mike MACZEY,28 SEP 1972,GER,8,"Népstadion, Budapest (HUN)",20 AUG 1998,7.29,42.46,63.27,4:26.82,23.57,3855
962,8174,Roman ŠEBRLE,26 NOV 1974,CZE,10,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.67,47.41,65.75,4:31.04,23.49,4021
962,8174,Yordani GARCÍA,21 NOV 1988,CUB,4,"Stade Pierre Paul Bernard, Talence (FRA)",19 SEP 2010,7.05,43.96,62.89,4:45.52,23.58,3590
962,8174,Mihail DUDAŠ,01 NOV 1989,SRB,1,Novi Sad (SRB),13 MAY 2016,7.47,46.7,59.55,4:32.11,23.61,3848
966,8173,Dave STEEN,14 NOV 1959,CAN,2,Edinburgh (GBR),28 JUL 1986,7.4,43.62,60.18,4:22.65,23.70,3891
966,8173,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,5,Götzis (AUT),27 MAY 2001,7.19,46.73,60.57,4:21.85,23.58,3934
966,8173,Dmitriy KARPOV,23 JUL 1981,KAZ,1,Kladno (CZE),10 JUN 2012,7.14,51.58,50.45,4:45.52,23.53,3581
966,8173,Willem COERTZEN,30 DEC 1982,RSA,9,"Olympic Stadium, London (GBR)",09 AUG 2012,7.17,43.58,64.79,4:26.52,23.29,3912
970,8172,Kamil DAMAŠEK,22 SEP 1973,CZE,3,Tallinn (EST),29 JUN 1997,7.35,44.4,58.56,4:26.08,23.97,3792
970,8172,Dennis LEYCKES,20 APR 1982,GER,1,"Stadionring, Ratingen (GER)",27 JUN 2004,7.19,41.39,59.49,4:28.94,23.79,3704
970,8172,Romain BARRAS,01 AUG 1980,FRA,3,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,7.11,43.38,62.09,4:29.30,23.63,3777
970,8172,Dmitriy KARPOV,23 JUL 1981,KAZ,1,"Stadio Tre Stelle, Desenzano del Garda (ITA)",06 MAY 2012,7.26,50.75,50.48,5:00.22,23.53,3409
970,8172,Fredrik SAMUELSSON,16 FEB 1995,SWE,9,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.5,40.03,56.21,4:39.52,23.31,3632
975,8171,Jon Ryan HARLAN,25 APR 1981,USA,1,"Austin, TX (USA)",12 JUN 2004,6.97,41.87,61.07,4:56.81,23.02,3443
975,8171,Larbi BOURRADA,10 MAY 1988,ALG,12,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.35,37.83,62.53,4:12.15,23.18,4008
975,8171,Pierce LEPAGE,22 JAN 1996,CAN,2,Gold Coast (AUS),10 APR 2018,7.44,43.9,58.24,4:58.00,23.91,3408
978,8170,Thomas FAHNER,18 JUL 1966,GDR,3,Götzis (AUT),25 MAY 1986,7.29,43.52,61.88,4:31.47,23.47,3810
978,8170,Petri KESKITALO,10 MAR 1967,FIN,1,Helmond (NED),16 JUL 1989,7.59,45.66,66.92,4:46.40,24.00,3728
978,8170,Chris HUFFINS,19 APR 1970,USA,1,Winnipeg (CAN),25 JUL 1999,7.57,46.97,59.73,5:09.55,23.47,3428
978,8170,Roman ŠEBRLE,26 NOV 1974,CZE,3,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2006,7.45,44.12,63.32,4:42.70,24.17,3642
978,8170,Eelco SINTNICOLAAS,07 APR 1987,NED,3,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2011,7.3,36.51,60.4,4:29.11,24.62,3538
978,8170,Mikk PAHAPILL,18 JUL 1983,EST,17,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.12,47.57,62.89,4:33.16,22.86,3922
978,8170,Janek ÕIGLANE,25 APR 1994,EST,1,"Kadrioru staadion, Tallinn (EST)",02 JUL 2017,7.42,42.98,68.79,4:41.53,23.56,3788
978,8170,Felix WOLTER,04 OCT 1997,GER,1,"Stade Philippides, Montpellier (FRA)",28 MAY 2023,7.91,42.6,50.74,4:26.90,23.27,3854
986,8169,Beiniamino POSERINA,06 NOV 1970,ITA,1,Formia (ITA),06 OCT 1996,7.43,44.34,58.88,4:36.94,24.15,3653
986,8169,Bryan CLAY,03 JAN 1980,USA,3,"Eugene, OR (USA)",22 JUN 2001,7.54,46.72,57.96,4:38.93,23.96,3709
986,8169,Michael NOLAN,22 SEP 1973,CAN,11,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,6.98,50.3,64.57,4:31.44,23.33,3924
986,8169,Garrett SCANTLING,19 MAY 1993,USA,1,"Athens, GA (USA)",11 APR 2014,7.02,46.09,66.69,4:48.02,23.69,3630
990,8168,Dominik DISTELBERGER,16 MAR 1990,AUT,7,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,7.57,40.55,59.8,4:32.44,23.32,3795
991,8167,Pavel TARNAVETSKIY,22 FEB 1961,URS,10,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.28,48.02,59.48,4:52.24,24.09,3514
991,8167,Kip JANVRIN,08 JUL 1965,USA,1,"Maryville, MO (USA)",11 MAY 2001,7.23,44.6,60.86,4:16.92,23.80,3940
993,8166,Vasiliy KHARLAMOV,08 JAN 1986,RUS,1,"National Stadium, Shenzhen (CHN)",18 AUG 2011,7.37,46.03,62.82,4:38.88,23.92,3734
994,8165,Francisco Javier BENET,25 MAR 1968,ESP,2,Tallinn (EST),16 JUN 1996,7.35,45.88,61.68,4:35.78,23.90,3752
994,8165,Fredrik SAMUELSSON,16 FEB 1995,SWE,8,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.49,42.64,59.33,4:39.36,24.43,3574
994,8165,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Olympic Stadium, Cheboksary (RUS)",03 AUG 2022,7.47,43.6,61.31,4:43.35,23.51,3689
997,8164,William MOTTI,25 JUL 1964,FRA,7,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,7.13,50.58,67.5,4:48.89,24.40,3642
997,8164,Thorsten DAUTH,11 MAR 1968,GER,7,Götzis (AUT),28 MAY 1995,6.98,49.86,4.3,4:33.19,23.87,2973
997,8164,Mikk PAHAPILL,18 JUL 1983,EST,9,"DS, Daegu (KOR)",28 AUG 2011,7.12,47.16,66.4,4:35.41,23.68,3826
997,8164,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,1,"Central Stadium, Kazan (RUS)",09 JUL 2013,7.8,38.74,62.43,4:50.48,23.84,3553
1002,8163,Christian SCHENK,09 FEB 1965,GDR,5,Götzis (AUT),26 MAY 1985,7.61,40.2,66.48,4:26.57,23.82,3897
1002,8163,Ashley BRYANT,17 MAY 1991,GBR,10,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.7,42.52,67.54,4:31.86,24.13,3866
1005,8162,Vitaliy ZHUK,10 SEP 1996,BLR,9,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.11,45.91,63.45,4:30.36,23.31,3872
1006,8161,Christian SCHENK,09 FEB 1965,GDR,5,Basel (SUI),05 JUL 1987,7.57,43.22,64.04,4:22.70,23.62,3985
1006,8161,Dirk-Achim PAJONK,27 MAR 1969,GER,3,Lage (GER),16 JUN 1996,7.35,42,55.9,4:18.58,23.93,3810
1006,8161,Paul TEREK,20 OCT 1979,USA,8,Götzis (AUT),30 MAY 2004,7.29,44.37,58.45,4:41.86,23.39,3658
1006,8161,Eugène MARTINEAU,14 MAY 1980,NED,9,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,7.23,44.77,67,4:28.82,23.56,3913
1006,8161,Damian WARNER,04 NOV 1989,CAN,1,"Stade Pierre Paul Bernard, Talence (FRA)",15 SEP 2013,7.09,44.92,61.06,4:38.85,22.92,3763
